,true sales,predicted sales,predicted sales round up 
235,1,3.7259671688079834,4
236,1,5.071710586547852,5
237,1,3.9343676567077637,4
238,1,3.9247243404388428,4
239,1,3.9801390171051025,4
240,1,3.0116496086120605,3
241,1,2.9493496417999268,3
242,1,3.189678907394409,3
243,1,2.925654649734497,3
244,1,3.0554206371307373,3
245,1,4.465643882751465,4
246,1,3.1325275897979736,3
247,1,3.001124143600464,3
248,1,3.013751268386841,3
249,1,3.053269386291504,3
250,3,1.2998483180999756,1
251,5,1.5041944980621338,2
252,1,1.7973659038543701,2
253,1,1.7350986003875732,2
254,6,5.206159591674805,5
255,1,1.064939260482788,1
256,2,4.762106895446777,5
257,6,13.667827606201172,14
258,6,2.6391444206237793,3
259,2,2.96541428565979,3
260,4,3.7653965950012207,4
261,4,8.181845664978027,8
262,2,1.9254138469696045,2
263,2,4.746438980102539,5
264,2,4.6820173263549805,5
265,6,4.00938606262207,4
266,2,5.431347846984863,5
267,7,6.703851699829102,7
268,5,6.18869686126709,6
269,1,1.3528120517730713,1
270,1,2.030900716781616,2
271,1,2.4460690021514893,2
272,1,2.6571855545043945,3
273,1,2.28792405128479,2
274,1,1.5473778247833252,2
275,1,1.8534390926361084,2
276,1,3.325263023376465,3
277,1,1.8750081062316895,2
278,1,1.8876347541809082,2
279,1,2.0174002647399902,2
280,2,1.8830089569091797,2
281,1,2.1525678634643555,2
282,1,3.388397693634033,3
283,1,1.8400743007659912,2
284,1,1.9157066345214844,2
285,1,2.7103846073150635,3
286,1,1.9730448722839355,2
287,1,2.221665143966675,2
288,1,3.437243938446045,3
289,1,3.4486186504364014,3
290,1,2.296373128890991,2
291,1,1.8577184677124023,2
292,1,1.8973767757415771,2
293,1,1.6869394779205322,2
294,1,3.248593330383301,3
295,1,1.9154770374298096,2
296,1,1.7864148616790771,2
297,1,1.7721507549285889,2
298,1,1.7486650943756104,2
299,1,2.0810892581939697,2
300,1,1.823591947555542,2
301,1,1.286562204360962,1
302,1,2.6930086612701416,3
303,1,1.5121729373931885,2
304,1,1.3044793605804443,1
305,1,1.1944892406463623,1
306,1,1.5633857250213623,2
307,1,1.3058879375457764,1
308,1,1.4482805728912354,1
309,1,1.588639497756958,2
310,1,1.2688419818878174,1
311,1,1.4735348224639893,1
312,1,1.613893747329712,2
313,1,1.356395959854126,1
314,1,1.324950933456421,1
315,1,1.2895429134368896,1
316,1,2.8273513317108154,3
317,1,1.5103023052215576,2
318,1,4.646427154541016,5
319,1,4.463280200958252,4
320,1,4.319250106811523,4
321,1,4.475907325744629,4
322,1,4.358768463134766,4
323,1,5.85882568359375,6
324,1,4.333643913269043,4
325,1,4.525709629058838,5
326,1,4.395715713500977,4
327,1,4.37269401550293,4
328,1,4.399584770202637,4
329,1,4.8210906982421875,5
330,1,5.947680473327637,6
331,1,5.9603071212768555,6
